pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,sy_gaiamag
Kepler-1335 b,Kepler-1335,1,1,1,Transit,2016,Kepler,6.26406846,,1.450,,,,,,4903.00,0.74,0.77,-0.070,[Fe/H],4.60,621.8530000,15.3037000
Kepler-1336 b,Kepler-1336,1,1,2,Transit,2016,Kepler,23.19868100,,1.980,,,,,,5512.00,1.30,0.94,0.050,[Fe/H],4.18,1126.6400000,14.0381000
Kepler-1336 c,Kepler-1336,1,1,2,Transit,2016,Kepler,5.77721211,,1.710,,,,,,5512.00,1.30,0.94,0.050,[Fe/H],4.18,1126.6400000,14.0381000
Kepler-1337 b,Kepler-1337,1,1,1,Transit,2016,Kepler,24.40025490,,2.410,,,,,,4523.00,0.67,0.70,-0.090,[Fe/H],4.64,601.6290000,15.8169000
Kepler-1338 b,Kepler-1338,1,1,1,Transit,2016,Kepler,0.93511806,,0.920,,,,,,5909.00,1.05,1.04,0.000,[Fe/H],4.41,753.2600000,13.5742000
Kepler-1339 b,Kepler-1339,1,1,1,Transit,2016,Kepler,1.34155513,,0.710,,,,,,5586.00,0.93,0.94,0.010,[Fe/H],4.47,371.0490000,12.1235000
Kepler-134 b,Kepler-134,1,1,2,Transit,2014,Kepler,5.31742900,0.060000,2.000,,,,,,5983.00,1.18,,,,4.31,334.7970000,12.2219000
Kepler-134 c,Kepler-134,1,1,2,Transit,2014,Kepler,10.10578500,0.092000,1.260,,,,,,5983.00,1.18,,,,4.31,334.7970000,12.2219000
Kepler-1340 b,Kepler-1340,1,1,1,Transit,2016,Kepler,0.66502692,,1.550,,,,,,6331.00,1.42,1.27,0.070,[Fe/H],4.24,981.7790000,14.7546000
Kepler-1341 b,Kepler-1341,1,2,1,Transit,2016,Kepler,132.99683220,,2.990,,,,,,4662.00,0.72,0.79,0.190,[Fe/H],4.62,476.9570000,15.0181000
Kepler-1342 b,Kepler-1342,1,1,1,Transit,2016,Kepler,2.21571036,,1.660,,,,,,5527.00,0.90,0.93,0.030,[Fe/H],4.51,890.7240000,15.3835000
Kepler-1343 b,Kepler-1343,1,1,1,Transit,2016,Kepler,3.35183158,,1.930,,,,,,5759.00,0.93,0.95,-0.160,[Fe/H],4.48,1756.7100000,15.5297000
Kepler-1344 b,Kepler-1344,1,1,1,Transit,2016,Kepler,4.76830490,,1.840,,,,,,5981.00,1.13,1.09,0.060,[Fe/H],4.37,853.9590000,14.0269000
Kepler-1345 b,Kepler-1345,1,1,1,Transit,2016,Kepler,44.61695570,,2.360,,,,,,6449.00,1.55,1.32,0.040,[Fe/H],4.18,1355.0200000,13.7050000
