pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,sy_gaiamag
11 Com b,11 Com,1,2,1,Radial Velocity,2007,Xinglong Station,323.21000000,1.178000,,,0.238000,,,G8 III,4874.00,13.76,2.09,-0.260,[Fe/H],2.45,93.1846000,4.4403800
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000,1.530000,,,0.080000,,,,4213.00,29.79,2.78,-0.020,[Fe/H],1.93,125.3210000,4.5621600
14 And b,14 And,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76000000,0.775000,,,0.000000,,,K0 III,4888.00,11.55,1.78,-0.210,[Fe/H],2.55,75.4392000,4.9178100
14 Her b,14 Her,1,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.03890000,2.774000,,2559.47216,0.373000,,,,,,0.91,,,,17.9323000,6.3830000
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,Multiple Observatories,798.50000000,1.660000,,,0.680000,,,,5750.00,1.13,1.08,0.060,[Fe/H],4.36,21.1397000,6.0642800
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,Lick Observatory,578.38000000,1.450000,,,0.060000,,,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],1.70,124.9530000,4.7542900
18 Del b,18 Del,1,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85000000,2.476000,,,0.024000,,,G6 III,4980.00,8.80,2.10,-0.060,[Fe/H],2.87,76.2220000,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,Gemini Observatory,,330.000000,,3000.00000,,,1700,K7 V,4060.00,,0.85,,,,139.1350000,12.0572000
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33000000,0.194000,,,0.032000,,,G3 IV,4816.00,12.19,1.05,-0.780,[Fe/H],2.28,95.9863000,5.3339000
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,452.80000000,1.333000,,,0.090000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,72.0691000,6.2037400
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,883.00000000,2.080000,,,0.290000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,72.0691000,6.2037400
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,Subaru Telescope,,118.000000,,1271.31363,,,1450,M V,3100.00,0.84,0.17,0.010,[Fe/H],4.50,128.4840000,14.3374000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,Paranal Observatory,,84.000000,,4131.79000,,,,M5.5/M6,,,0.19,,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,W. M. Keck Observatory,,52.000000,,7786.50000,,,,M3.5 V,3530.00,,0.40,,,,33.8281000,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156.000000,16.141,4417.83700,,,,M6,3064.00,0.28,0.11,,,4.59,,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,Hubble Space Telescope,,15.000000,,2383.60000,,,,M8.5,,,0.02,,,,,18.9668000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,Paranal Observatory,,55.000000,,1589.15000,,,1250,M8,,,0.02,,,,64.3080000,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,406.00000000,,,,0.330000,,,,29564.00,0.20,0.48,,,5.51,396.3320000,12.1376000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,W. M. Keck Observatory,,230.000000,,3972.87500,,,,K7 V,4045.00,,0.60,,,,69.5737000,11.9484000
30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001000,0.990000,,,0.290000,,,,6331.00,1.41,1.93,0.190,[Fe/H],4.43,44.6570000,6.9608500
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27000000,0.877000,,,0.453000,,,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],1.80,73.4603000,4.2377300
42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.10000000,1.190000,,,0.380000,,,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],1.71,90.6545000,4.4321600
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,Lick Observatory,1078.00000000,2.100000,,,0.032000,,,,5872.00,1.21,1.06,0.040,[M/H],4.30,13.7967000,4.8783700
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,Lick Observatory,2391.00000000,3.600000,,,0.098000,,,,5872.00,1.21,1.06,0.040,[M/H],4.30,13.7967000,4.8783700
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,Lick Observatory,14002.00000000,11.600000,,,0.160000,,,,5872.00,1.21,1.06,0.040,[M/H],4.30,13.7967000,4.8783700
51 Eri b,51 Eri,1,3,1,Imaging,2015,Gemini Observatory,,13.200000,,635.66000,,,700,F0 IV,,,1.75,-0.027,[M/H],,29.7575000,5.1580600
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.23078500,0.052700,,,0.013000,,,,5758.00,1.18,1.03,0.180,[M/H],4.31,15.4614000,5.2864700
55 Cnc b,55 Cnc,1,2,5,Radial Velocity,1996,Lick Observatory,14.65160000,0.113400,,,0.000000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,12.5855000,5.7297300
55 Cnc c,55 Cnc,1,2,5,Radial Velocity,2004,McDonald Observatory,44.39890000,0.237300,,,0.030000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,12.5855000,5.7297300
55 Cnc d,55 Cnc,1,2,5,Radial Velocity,2002,Lick Observatory,5574.20000000,5.957000,,,0.130000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,12.5855000,5.7297300
55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,McDonald Observatory,0.73654740,0.015440,1.875,7.99000,0.050000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,12.5855000,5.7297300
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,Multiple Observatories,259.88000000,0.770800,,,0.080000,,,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,12.5855000,5.7297300
6 Lyn b,6 Lyn,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86000000,2.028000,,,0.042000,,,K0 IV,4941.00,4.94,1.32,-0.170,[Fe/H],3.16,54.6599000,5.6068600
61 Vir b,61 Vir,1,1,3,Radial Velocity,2009,Multiple Observatories,4.21500000,0.050201,,,0.120000,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.5033200,4.5405200
61 Vir c,61 Vir,1,1,3,Radial Velocity,2009,Multiple Observatories,38.02100000,0.217500,,,0.140000,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.5033200,4.5405200
61 Vir d,61 Vir,1,1,3,Radial Velocity,2009,Multiple Observatories,123.01000000,0.476000,,,0.350000,,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.5033200,4.5405200
7 CMa b,7 CMa,1,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.10000000,1.758000,,,0.060000,,,,4826.00,4.87,1.34,0.210,[Fe/H],3.19,19.8101000,3.6785300
7 CMa c,7 CMa,1,1,2,Radial Velocity,2019,Multiple Observatories,996.00000000,2.153000,,,0.080000,,,,4826.00,4.87,1.34,0.210,[Fe/H],3.19,19.8101000,3.6785300
70 Vir b,70 Vir,1,1,1,Radial Velocity,1996,Lick Observatory,116.68800000,0.481000,,,0.398800,,,,5495.00,1.89,1.09,,,3.95,17.9011000,4.7617800
75 Cet b,75 Cet,1,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62000000,1.912000,,,0.093000,,,G3 III,4809.00,10.38,1.92,0.100,[Fe/H],2.69,82.9613000,5.0934300
75 Cet c,75 Cet,1,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62000000,3.929000,,,0.023000,,,G3 III,4809.00,10.38,1.92,0.100,[Fe/H],2.69,82.9613000,5.0934300
8 UMi b,8 UMi,1,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.40000000,0.490000,,,0.060000,,,,4847.00,10.30,1.44,-0.030,[Fe/H],2.57,162.5520000,6.5589600
81 Cet b,81 Cet,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57000000,2.104000,,,0.037000,,,G5 III,4734.00,11.21,1.23,-0.110,[Fe/H],2.41,101.2600000,5.3758800
91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,Lick Observatory,181.40000000,0.700000,,,0.027000,,,K0 III,4665.00,11.00,1.40,-0.030,[Fe/H],2.52,44.0304000,3.9531100
AB Aur b,AB Aur,1,1,1,Imaging,2022,Subaru Telescope,,93.900000,,2860.45566,0.400000,,,,9770.00,,2.40,,,,162.1270000,7.0785400
AB Pic b,AB Pic,1,1,1,Imaging,2005,Paranal Observatory,,260.000000,,4290.50000,,,,K2 V,,,,,,,50.0475000,8.8378000
AF Lep b,AF Lep,1,1,1,Imaging,2023,Paranal Observatory,8030.00000000,8.400000,,1017.05090,0.240000,,,F8 V,6130.00,1.25,1.20,0.190,[Fe/H],,26.8564000,6.1864400
AU Mic b,AU Mic,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46299910,0.064500,,20.12000,0.186000,,,,,,0.50,,,,9.7221000,7.8403800
AU Mic c,AU Mic,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85899100,0.110100,,9.60000,,,,,,,0.50,,,,9.7221000,7.8403800
AU Mic d,AU Mic,1,1,3,Transit Timing Variations,2023,Multiple Observatories,12.73596000,,,1.05300,0.003050,,,,3678.00,0.74,0.51,0.230,[Fe/H],4.40,9.7221000,7.8403800
BD+03 2562 b,BD+03 2562,1,1,1,Radial Velocity,2017,Multiple Observatories,481.90000000,1.300000,,,0.200000,,,,4095.00,32.35,1.14,-0.710,[Fe/H],1.89,1070.6300000,8.9977000
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,McDonald Observatory,268.94000000,0.780000,,,0.290000,,,,4864.00,0.86,0.49,0.170,[Fe/H],4.26,49.3520000,9.3510800
BD+15 2375 b,BD+15 2375,1,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22000000,0.576000,,,0.001000,,,,4649.00,8.95,1.08,-0.220,[Fe/H],2.61,768.0450000,9.9918000
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,McDonald Observatory,137.48000000,0.539000,,,0.260000,,,K0,4796.00,14.70,1.10,0.280,[Fe/H],2.80,426.4200000,8.7178000
BD+20 2457 b,BD+20 2457,1,1,2,Radial Velocity,2009,McDonald Observatory,379.63000000,1.450000,,,0.150000,,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],1.51,1539.7100000,9.2268400
BD+20 2457 c,BD+20 2457,1,1,2,Radial Velocity,2009,McDonald Observatory,621.99000000,2.010000,,,0.180000,,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],1.51,1539.7100000,9.2268400
BD+20 274 b,BD+20 274,1,1,1,Radial Velocity,2012,McDonald Observatory,578.20000000,1.300000,,,0.210000,,,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],1.99,1322.5100000,8.9161300
BD+20 594 b,BD+20 594,1,1,1,Transit,2016,K2,41.68550000,,2.578,22.24810,0.000000,,,,5766.00,1.08,1.67,-0.150,[Fe/H],4.50,179.4610000,10.8644000
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88000000,0.830000,,,0.120000,,,K1,5004.00,,0.81,-0.090,[Fe/H],4.22,53.6220000,9.4126600
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,McDonald Observatory,392.60000000,1.000000,,,0.200000,,,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],2.24,871.4930000,8.6556900
BD+48 740 b,BD+48 740,1,1,1,Radial Velocity,2018,Multiple Observatories,733.00000000,1.700000,,,0.760000,,,,4534.00,10.33,1.09,-0.130,[Fe/H],2.48,666.5890000,8.2644900
BD+49 828 b,BD+49 828,1,1,1,Radial Velocity,2015,McDonald Observatory,2590.00000000,4.200000,,,0.350000,,,K0,4943.00,7.60,1.52,-0.190,[Fe/H],2.85,442.0420000,9.0285100
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59000000,0.780000,,,0.270000,,,K3,5012.00,,0.91,0.180,[Fe/H],4.09,52.5697000,9.1530500
BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,1662.000000,14.684,4767.42610,,,1303,K0,4993.00,0.80,1.00,,,4.55,44.9543000,9.1743900
BD+63 1405 b,BD+63 1405,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,1198.48000000,2.060000,,,0.880000,,,K0,5000.00,,0.82,-0.090,[Fe/H],4.20,38.0473000,8.7050000
BD-00 4475 b,BD-00 4475,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,723.20000000,1.480000,,,0.390000,,,G0,5040.00,,0.81,-0.140,[Fe/H],4.25,42.6402000,8.7810100
BD-06 1339 b,BD-06 1339,1,1,2,Radial Velocity,2013,La Silla Observatory,3.87280000,0.042800,,,0.000000,,,K7/M0 V,4324.00,,0.70,-0.140,[Fe/H],4.74,20.2695000,9.1067700
BD-06 1339 c,BD-06 1339,1,1,2,Radial Velocity,2013,La Silla Observatory,125.94000000,0.435000,,,0.310000,,,K7/M0 V,4324.00,,0.70,-0.140,[Fe/H],4.74,20.2695000,9.1067700
BD-08 2823 b,BD-08 2823,1,1,2,Radial Velocity,2009,La Silla Observatory,5.60000000,0.060000,,,0.150000,,,,4816.00,0.71,0.50,-0.060,[Fe/H],4.43,41.3342000,9.5033100
BD-08 2823 c,BD-08 2823,1,1,2,Radial Velocity,2009,La Silla Observatory,237.60000000,0.680000,,,0.190000,,,K3 V,4746.00,,0.74,-0.070,[Fe/H],4.13,41.3342000,9.5033100
BD-10 3166 b,BD-10 3166,1,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777000,0.040000,,,0.020000,,,,5393.00,0.91,1.47,0.380,[Fe/H],4.69,84.4069000,9.8398100
BD-11 4672 b,BD-11 4672,1,1,2,Radial Velocity,2014,La Silla Observatory,1634.00000000,2.360000,,,0.050000,,,,4550.00,0.64,0.65,-0.350,[Fe/H],4.64,27.1665000,9.4851100
BD-11 4672 c,BD-11 4672,1,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.20000000,0.300000,,,0.400000,,,,4550.00,0.64,0.65,-0.350,[Fe/H],4.64,27.1665000,9.4851100
BD-13 2130 b,BD-13 2130,1,1,1,Radial Velocity,2007,La Silla Observatory,714.29999000,1.660000,,,0.210000,,,,4545.00,19.17,2.12,-0.080,[Fe/H],2.20,925.2140000,9.6997100
BD-17 63 b,BD-17 63,1,1,1,Radial Velocity,2008,La Silla Observatory,655.60000000,1.340000,,,0.540000,,,K5 V,4714.00,0.69,0.74,-0.030,[Fe/H],4.26,34.4603000,9.2011200
BD-210397 b,BD-210397,1,1,2,Radial Velocity,2023,La Silla Observatory,1891.00000000,2.630000,,,0.100000,0.02,,K7 V,4051.00,0.75,0.68,0.120,[Fe/H],4.67,23.7324000,9.2596200
BD-210397 c,BD-210397,1,1,2,Radial Velocity,2023,La Silla Observatory,6240.00000000,5.900000,,1525.57635,0.430000,,,K7 V,,,0.69,,,,23.7324000,9.2596200
CD Cet b,CD Cet,1,1,1,Radial Velocity,2020,Calar Alto Observatory,2.29070000,0.018500,,,,8.60,464,M5.0 V,3130.00,0.17,0.16,0.130,[Fe/H],4.93,8.6071500,12.1232000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,Imaging,2011,W. M. Keck Observatory,10037.50000000,2.600000,,3337.10000,,,370,,580.50,,0.02,,,4.72,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,Hubble Space Telescope,8040000.00000000,200.000000,20.849,2479.06157,,,1800,M9-L1,2320.00,0.24,0.01,,,3.85,,
CHXR 73 b,CHXR 73,1,1,1,Imaging,2006,Hubble Space Telescope,,210.000000,,3994.48600,,,,M3.5,,,0.35,,,,190.3740000,17.2934000
CI Tau b,CI Tau,1,1,1,Radial Velocity,2019,Multiple Observatories,8.98910000,,,3686.82800,0.250000,,,K7,,,0.90,,,,157.9980000,12.1454000
COCONUTS-2 b,COCONUTS-2 A,1,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000.00000000,7506.000000,12.442,2002.31896,,,434,M3 V,3406.00,0.39,0.37,0.000,[Fe/H],4.83,10.8864000,10.1460000
CT Cha b,CT Cha,1,1,1,Imaging,2007,Paranal Observatory,,440.000000,24.660,5403.00000,,,2600,,,,,,,,190.7200000,11.7733000
CoRoT-1 b,CoRoT-1,1,1,1,Transit,2008,CoRoT,1.50895570,,16.700,327.35000,0.000000,,1898,G0 V,5950.00,1.11,0.95,-0.300,[M/H],4.25,787.9090000,13.4570000
CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,CoRoT,13.24060000,0.105500,10.870,874.00000,0.530000,,600,K1 V,5075.00,0.79,0.89,0.260,[Fe/H],4.65,338.3860000,14.6645000
CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,CoRoT,2.99433000,0.043600,16.030,740.51000,0.000000,,1657,F6 V,6440.00,1.37,1.27,-0.030,[Fe/H],4.22,655.0370000,12.8410000
CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,CoRoT,2.82804200,0.040160,16.140,291.43800,0.070000,,1442,,5675.00,1.12,1.08,0.160,[Fe/H],4.38,1126.3700000,15.3453000
CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,CoRoT,4.03519000,0.051000,9.920,415.70400,0.000000,,1700,G0 V,5945.00,1.01,1.09,0.010,[Fe/H],4.46,1148.9300000,14.9147000
CoRoT-14 b,CoRoT-14,1,1,1,Transit,2010,CoRoT,1.51214000,0.027000,12.220,2415.40000,0.000000,,1952,F9 V,6035.00,1.21,1.13,0.050,[Fe/H],4.35,1744.6000000,15.8116000
CoRoT-16 b,CoRoT-16,1,1,1,Transit,2011,CoRoT,5.35227000,0.061800,13.110,170.03200,0.330000,,,G5 V,5650.00,1.19,1.10,0.190,[M/H],4.36,732.4090000,15.6507000
CoRoT-17 b,CoRoT-17,1,1,1,Transit,2011,CoRoT,3.76810000,0.046100,11.430,772.29000,0.000000,,1626,G2 V,5740.00,1.59,1.04,0.000,[Fe/H],4.40,1176.1200000,15.4368000
CoRoT-18 b,CoRoT-18,1,1,1,Transit,2011,CoRoT,1.90006930,0.029500,14.680,1102.82000,0.080000,,1550,G9 V,5440.00,1.00,0.95,-0.100,[Fe/H],4.40,764.8890000,14.8009000
CoRoT-19 b,CoRoT-19,1,1,1,Transit,2011,CoRoT,3.89713000,0.051800,14.460,352.78000,0.047000,,2000,F9 V,6090.00,1.65,1.21,-0.020,[Fe/H],4.07,790.6630000,13.7831000
CoRoT-2 b,CoRoT-2,1,2,1,Transit,2008,CoRoT,1.74299350,0.027980,16.432,1102.82000,0.014300,,,,5625.00,0.91,0.96,,,,213.2830000,12.2489000
CoRoT-20 b,CoRoT-20,1,1,2,Transit,2011,CoRoT,9.24285000,0.090000,,1366.66900,0.590000,,,,,,1.14,,,,844.0610000,14.4686000
CoRoT-20 c,CoRoT-20,1,1,2,Radial Velocity,2018,Multiple Observatories,1675.00000000,2.900000,,,0.600000,,,,,,1.14,,,,844.0610000,14.4686000
CoRoT-21 b,CoRoT-21,1,1,1,Transit,2012,CoRoT,2.72474000,0.041700,14.572,718.29580,0.000000,,,F8 IV,6200.00,1.95,1.29,0.000,[Fe/H],3.70,,15.8558000
CoRoT-22 b,CoRoT-22,1,1,1,Transit,2014,CoRoT,9.75598000,0.092000,4.880,12.20000,0.077000,,885,G3 V,5939.00,1.14,1.10,0.170,[Fe/H],4.36,627.1580000,13.7305000
CoRoT-23 b,CoRoT-23,1,1,1,Transit,2011,CoRoT,3.63130000,0.048000,11.770,889.90000,0.160000,,1660,G0 V,5900.00,1.61,1.14,0.050,[Fe/H],4.30,1060.9700000,15.0681000
CoRoT-24 b,CoRoT-24,1,1,2,Transit,2014,CoRoT,5.11340000,0.056000,3.700,5.70000,0.000000,,1070,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],4.55,591.5550000,15.1801000
CoRoT-24 c,CoRoT-24,1,1,2,Transit,2014,CoRoT,11.75900000,0.098000,5.000,28.00000,0.000000,,850,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],4.55,591.5550000,15.1801000
CoRoT-25 b,CoRoT-25,1,1,1,Transit,2013,CoRoT,4.86069000,0.057800,12.110,85.81000,0.000000,,1330,F9,6040.00,1.19,1.09,-0.010,[Fe/H],4.31,1103.4800000,14.7110000
CoRoT-26 b,CoRoT-26,1,1,1,Transit,2013,CoRoT,4.20474000,0.052600,14.120,165.26000,0.000000,,1600,G5,5590.00,1.79,1.09,0.010,[Fe/H],3.99,1045.1800000,15.4682000
CoRoT-27 b,CoRoT-27,1,1,1,Transit,2014,CoRoT,3.57532000,0.047600,11.287,3302.11000,0.065000,,1500,G2,5900.00,1.08,1.05,-0.100,[M/H],4.40,1010.2800000,15.3902000
CoRoT-28 b,CoRoT-28,1,1,1,Transit,2015,CoRoT,5.20851000,0.060300,10.705,153.82972,0.047000,,,G8/9 IV,5150.00,1.78,1.01,0.150,[Fe/H],3.60,766.1830000,13.4119000
CoRoT-29 b,CoRoT-29,1,1,1,Transit,2015,CoRoT,2.85057000,0.038600,10.088,270.15550,0.082000,,,K0 V,5260.00,0.90,0.97,0.200,[Fe/H],4.30,806.5070000,15.2394000
CoRoT-3 b,CoRoT-3,1,1,1,Transit,2008,CoRoT,4.25680000,,11.320,6883.91000,0.000000,,,F3 V,6740.00,1.56,1.37,,,4.22,768.7710000,13.2188000
CoRoT-30 b,CoRoT-30,1,1,1,Transit,2020,CoRoT,9.06005000,0.084400,11.310,921.70700,0.007000,,,G3 V,5650.00,0.91,0.98,0.020,[Fe/H],4.40,1032.2300000,15.4130000
CoRoT-31 b,CoRoT-31,1,1,1,Transit,2020,CoRoT,4.62941000,0.058600,16.365,266.97720,0.020000,,,G2 IV,5700.00,2.15,1.25,0.000,[Fe/H],3.85,2005.7600000,15.4655000
CoRoT-35 b,CoRoT-35,1,1,1,Transit,2022,CoRoT,3.22748000,0.042900,18.831,349.61125,0.000000,,1747,F6 V,6390.00,1.65,1.01,-0.500,[Fe/H],4.01,1123.2100000,15.2625000
CoRoT-36 b,CoRoT-36,1,1,1,Transit,2022,CoRoT,5.61653100,0.066000,15.805,216.12332,0.000000,,1567,F3 V,6730.00,1.52,1.32,-0.100,[Fe/H],4.16,925.9580000,12.9515000
CoRoT-4 b,CoRoT-4,1,1,1,Transit,2008,CoRoT,9.20205000,0.090000,13.340,228.83000,0.000000,,1074,,6190.00,1.17,1.16,,,4.41,726.4120000,13.5613000
CoRoT-5 b,CoRoT-5,1,1,1,Transit,2009,CoRoT,4.03789620,0.049470,15.558,148.42000,0.090000,,1438,F9 V,6100.00,1.19,1.00,-0.250,[M/H],4.19,882.4720000,13.9021000
CoRoT-6 b,CoRoT-6,1,1,1,Transit,2009,CoRoT,8.88659300,0.085500,13.068,940.74000,0.100000,,1017,F9 V,6090.00,1.02,1.05,-0.200,[Fe/H],4.43,645.2940000,13.7459000
CoRoT-7 b,CoRoT-7,1,1,3,Transit,2009,CoRoT,0.85359163,,1.681,4.07661,0.000000,,,,5275.00,0.83,0.82,0.050,[Fe/H],4.50,159.9060000,11.5239000
CoRoT-7 c,CoRoT-7,1,1,3,Radial Velocity,2009,CoRoT,3.69800000,0.046000,,8.40000,0.000000,,,,5256.00,0.86,0.90,0.060,[M/H],4.52,159.9060000,11.5239000
CoRoT-7 d,CoRoT-7,1,1,3,Radial Velocity,2022,La Silla Observatory,8.96600000,,,17.14200,,,,G9 V,5250.00,,0.92,,,,159.9060000,11.5239000
CoRoT-8 b,CoRoT-8,1,1,1,Transit,2010,CoRoT,6.21229000,0.063000,6.390,69.92000,0.000000,,,K1 V,5080.00,0.77,0.88,0.300,[M/H],4.58,322.0370000,14.2195000
CoRoT-9 b,CoRoT-9,1,2,1,Transit,2009,CoRoT,95.27265600,0.402100,11.949,266.97720,0.133000,,420,,5625.00,0.96,0.96,-0.010,[Fe/H],4.54,412.9800000,13.5008000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,1,Transit,2017,CoRoT,6.71837000,0.071000,6.389,47.67450,,132.26,938,G0 VI,5970.00,0.79,1.08,0.000,[Fe/H],4.67,576.6830000,13.5867000
DE CVn b,DE CVn,1,2,1,Eclipse Timing Variations,2018,Multiple Facilities,4098.10000000,5.750000,,,0.000000,,,,,,0.51,,,,30.5225000,11.9752000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,1,Astrometry,2013,Paranal Observatory,246.36000000,0.360000,,9057.77000,0.345000,,,L1.5,,,0.07,,,,,18.5577000
DH Tau b,DH Tau,1,1,1,Imaging,2004,Subaru Telescope,,330.000000,,3496.00000,,,,M0.5,,0.27,0.33,,,,134.8460000,12.4961000
DMPP-1 b,DMPP-1,1,1,4,Radial Velocity,2019,La Silla Observatory,18.57000000,0.146200,,,0.083000,,877,F8 V,6196.00,1.26,1.21,,,4.41,62.5388000,7.8503200
DMPP-1 c,DMPP-1,1,1,4,Radial Velocity,2019,La Silla Observatory,6.58400000,0.073300,,,0.057000,,1239,F8 V,6196.00,1.26,1.21,,,4.41,62.5388000,7.8503200
DMPP-1 d,DMPP-1,1,1,4,Radial Velocity,2019,La Silla Observatory,2.88200000,0.042200,,,0.070000,,1632,F8 V,6196.00,1.26,1.21,,,4.41,62.5388000,7.8503200
DMPP-1 e,DMPP-1,1,1,4,Radial Velocity,2019,La Silla Observatory,5.51600000,0.065100,,,0.070000,,1314,F8 V,6196.00,1.26,1.21,,,4.41,62.5388000,7.8503200
DMPP-2 b,DMPP-2,1,1,1,Radial Velocity,2019,Multiple Facilities,5.20720000,0.066400,,,0.078000,,1000,F5 V,6500.00,1.78,1.44,,,4.10,137.9400000,8.4582400
DMPP-3 A b,DMPP-3 A,1,2,1,Radial Velocity,2019,La Silla Observatory,6.67320000,0.066200,,,0.140000,,854,K0 V,5138.00,0.91,0.87,0.180,[Fe/H],4.30,45.2300000,
DMPP-4 b,DMPP-4,1,1,1,Radial Velocity,2023,Multiple Observatories,3.49820000,0.048530,,,0.063000,,,F5-F8 V,6400.00,1.38,1.25,-0.007,[Fe/H],4.24,25.3284000,5.6003700
DP Leo b,DP Leo,1,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,10220.00000000,8.190000,,,0.390000,,,,,,0.69,,,,305.6840000,18.6333000
DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.13826800,,5.700,,0.000000,,850,G6 V,5428.00,0.96,1.01,0.000,,,44.0622000,8.3192600
